objectId,createdAt,updatedAt,ACL,Make,Year,Model,Category
LNq3duGh9z,Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),null,Chevrolet,2020,Silverado 3500 HD Crew Cab,Pickup
FThs77Cddn,Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),null,BMW,2020,7 Series,Sedan
t9eGFMIk7E,Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),null,Ford,2020,Fusion,Sedan
cWQjuYWwc2,Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),null,Buick,2020,Envision,SUV
2lYY81jKzR,Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),null,Audi,2020,SQ5,SUV
qGDd5H3yYd,Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),null,Audi,2020,R8,"Coupe, Convertible"
ALbinxfzM1,Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),null,Chevrolet,2020,Traverse,SUV
9eRGwnViia,Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),null,Acura,2020,MDX,SUV
kAgBF7aSaO,Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),null,INFINITI,2020,QX80,SUV
ygsDiv3hRm,Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),null,Buick,2020,Encore,SUV
92pfQo6pA4,Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),null,GMC,2020,Sierra 2500 HD Crew Cab,Pickup
VfXndYon3e,Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),null,Honda,2020,Insight,Sedan
grl6dVnzM9,Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),null,Cadillac,2020,XT6,SUV
QrYfmqcnAR,Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),null,Cadillac,2020,XT5,SUV
hSaQDQkkE0,Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),null,Cadillac,2020,XT4,SUV
rSQyj88Pwe,Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),null,Buick,2020,Enclave,SUV
kkcmfophql,Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),null,Audi,2020,Q5,SUV
V1F5kE5svr,Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),null,Hyundai,2020,Santa Fe,SUV
bW6jRQ3h2S,Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),null,Ford,2020,EcoSport,SUV
6YcNNwgY0C,Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),null,Ford,2020,Escape,SUV
dxs3ayh6Yl,Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),null,Ford,2020,Mustang,"Coupe, Convertible"
yZUeGC1bOn,Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),null,Hyundai,2020,Sonata,Sedan
JyMpQJbCvy,Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),null,Ford,2020,Edge,SUV
VT4rtTsGBj,Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),null,Chevrolet,2020,Camaro,Convertible
vRQFNeVlsa,Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),null,Hyundai,2020,Kona Electric,SUV
OHHuEGKsUC,Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),null,Chevrolet,2020,Equinox,SUV
vu2lCeXKzk,Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),null,GMC,2020,Sierra 3500 HD Crew Cab,Pickup
rg8LbH5ixZ,Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),null,Jeep,2020,Gladiator,Pickup
ifEdBTIVDH,Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),null,BMW,2020,X7,SUV
4J2BvKonKq,Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),null,Cadillac,2020,CT6-V,Sedan
PlNwrAm6eM,Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),null,Audi,2020,A7,Sedan
VK6hmDAvqP,Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),null,Chevrolet,2020,Blazer,SUV
vidGAd8cIJ,Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),null,Ford,2020,F150 SuperCrew Cab,Pickup
NHWgNGSFB7,Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),null,Chevrolet,2020,Suburban,SUV
MTvnyKqtYJ,Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),null,Honda,2020,Civic,"Hatchback, Sedan, Coupe"
wTXL9Ze5eF,Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),null,Jeep,2020,Compass,SUV
SCG7WEYdG1,Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),null,Cadillac,2020,Escalade,SUV
cKnegrw5AO,Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),null,Chrysler,2020,Voyager,Van/Minivan
smKxD5m9KI,Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),null,Honda,2020,Accord Hybrid,Sedan
ED6o8Zffqs,Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),null,GMC,2020,Terrain,SUV
2ZCPYTGxDj,Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),null,Chevrolet,2020,Spark,Hatchback
fZGBnnMx4e,Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),null,GMC,2020,Sierra 1500 Crew Cab,Pickup
6qsEYBv6eW,Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),null,Hyundai,2020,NEXO,SUV
4lZKmYPbMk,Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),null,Hyundai,2020,Veloster,Coupe
9BdK0PtwKc,Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),null,Chevrolet,2020,Silverado 1500 Crew Cab,Pickup
H1THLG6H1Z,Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),null,Genesis,2020,G70,Sedan
XtDg7lwyJT,Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),null,Cadillac,2020,CT5,Sedan
KE29kkqLX6,Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),null,Honda,2020,Odyssey,Van/Minivan
70EmSYGau7,Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),null,Hyundai,2020,Elantra GT,Hatchback
YZj6RLht79,Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),null,Acura,2020,RDX,SUV
3phIrCVLh7,Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),null,GMC,2020,Yukon XL,SUV
i6jT5ByjBF,Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),null,Ford,2020,Ranger SuperCab,Pickup
RHD7qDmzgU,Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),null,Ford,2020,Expedition MAX,SUV
pJCLIx2r8E,Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),null,Hyundai,2020,Kona,SUV
8kzM0APnBF,Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),null,INFINITI,2020,QX50,SUV
1AV4avrH6j,Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),null,Dodge,2020,Durango,SUV
dow9fD3WF6,Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),null,GMC,2020,Yukon,SUV
adJr9Qr42Q,Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),null,Hyundai,2020,Palisade,SUV
F7BG83iyWo,Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),null,Honda,2020,Ridgeline,Pickup
VMpSU5DhdC,Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),null,Jeep,2020,Cherokee,SUV
UY03j6Fe12,Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),null,Chevrolet,2020,Bolt EV,Hatchback
7zxuFmGDLY,Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),null,Ford,2020,Expedition,SUV
pTGFRlqNAZ,Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),null,Hyundai,2020,Elantra,Sedan
e5835fdPKX,Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),null,Honda,2020,Passport,SUV
rYV3CVGElN,Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),null,Dodge,2020,Charger,Sedan
DemETgxfzm,Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),null,Honda,2020,Accord,Sedan
ZcDno27E49,Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),null,INFINITI,2020,QX60,SUV
eQ15fbmmpw,Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),null,Hyundai,2020,Venue,SUV
bAVM6QBgYF,Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),null,Honda,2020,Pilot,SUV
IeeTDLPJtc,Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),null,Jeep,2020,Grand Cherokee,SUV
5nK3Kjti74,Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),null,Chevrolet,2020,Tahoe,SUV
ZnSQK6bmSf,Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),null,GMC,2020,Acadia,SUV
MGgtV71Gqh,Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),null,Chevrolet,2020,Impala,Sedan
QHVcYMkgs8,Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),null,Honda,2020,CR-V,SUV
0qpktkoahP,Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),null,BMW,2020,X5,SUV
wqjaR037XL,Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),null,INFINITI,2020,Q60,Coupe
4pZjPmNsj5,Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),null,Ford,2020,Ranger SuperCrew,Pickup
nAVMCHuWui,Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),null,Chevrolet,2020,Trax,SUV
nvlklkJGRL,Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),null,Hyundai,2020,Ioniq Plug-in Hybrid,Hatchback
Ok8T6kagAQ,Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),null,Jaguar,2020,E-PACE,SUV
2o8HcNPula,Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),null,Hyundai,2020,Tucson,SUV
IDXLjYyc46,Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),null,Ford,2020,Explorer,SUV
DMfFQRFW7L,Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),null,Honda,2020,HR-V,SUV
LQNej2UoF0,Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),null,Jaguar,2020,I-PACE,SUV
US1p57Oo8w,Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),null,INFINITI,2020,Q50,Sedan
SQx4TCijoz,Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),null,Genesis,2020,G80,Sedan
JsaO4qw9cM,Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),null,Jaguar,2020,F-PACE,SUV
LnUsyZRETe,Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),null,Jeep,2020,Renegade,SUV
lJtQk4oNv7,Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),null,Hyundai,2020,Accent,Sedan
xxKBCB6qe4,Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),null,Jaguar,2020,F-TYPE,Convertible
0yxWejt1Kj,Mon Jan 27 2020 15:44:18 GMT-0500 (Eastern Standard Time),Mon Jan 27 2020 15:44:18 GMT-0500 (Eastern Standard Time),null,Jeep,2020,Wrangler,SUV
dquJk1A8lm,Mon Jan 27 2020 15:44:18 GMT-0500 (Eastern Standard Time),Mon Jan 27 2020 15:44:18 GMT-0500 (Eastern Standard Time),null,Kia,2020,Sorento,SUV
kthyzkzwOr,Mon Jan 27 2020 15:44:18 GMT-0500 (Eastern Standard Time),Mon Jan 27 2020 15:44:18 GMT-0500 (Eastern Standard Time),null,Kia,2020,Rio,"Sedan, Hatchback"
l0ZxQJr6dc,Mon Jan 27 2020 15:44:18 GMT-0500 (Eastern Standard Time),Mon Jan 27 2020 15:44:18 GMT-0500 (Eastern Standard Time),null,Land Rover,2020,Discovery Sport,SUV
oo53hnp2P1,Mon Jan 27 2020 15:44:18 GMT-0500 (Eastern Standard Time),Mon Jan 27 2020 15:44:18 GMT-0500 (Eastern Standard Time),null,Kia,2020,Sedona,Van/Minivan
nFb7cI8Sk6,Mon Jan 27 2020 15:44:18 GMT-0500 (Eastern Standard Time),Mon Jan 27 2020 15:44:18 GMT-0500 (Eastern Standard Time),null,Kia,2020,Optima,Sedan
YzwRfzL0uV,Mon Jan 27 2020 15:44:18 GMT-0500 (Eastern Standard Time),Mon Jan 27 2020 15:44:18 GMT-0500 (Eastern Standard Time),null,Kia,2020,Sportage,SUV
ZrJEw5FT5Z,Mon Jan 27 2020 15:44:18 GMT-0500 (Eastern Standard Time),Mon Jan 27 2020 15:44:18 GMT-0500 (Eastern Standard Time),null,Kia,2020,Optima Hybrid,Sedan
jjkQu6OvNz,Mon Jan 27 2020 15:44:18 GMT-0500 (Eastern Standard Time),Mon Jan 27 2020 15:44:18 GMT-0500 (Eastern Standard Time),null,Kia,2020,Optima Plug-in Hybrid,Sedan
YdnaZQmFIB,Mon Jan 27 2020 15:44:18 GMT-0500 (Eastern Standard Time),Mon Jan 27 2020 15:44:18 GMT-0500 (Eastern Standard Time),null,Land Rover,2020,Range Rover Evoque,SUV
4WEua9GTCy,Mon Jan 27 2020 15:44:18 GMT-0500 (Eastern Standard Time),Mon Jan 27 2020 15:44:18 GMT-0500 (Eastern Standard Time),null,Kia,2020,Telluride,SUV
BDXZuTt2Yh,Mon Jan 27 2020 15:44:18 GMT-0500 (Eastern Standard Time),Mon Jan 27 2020 15:44:18 GMT-0500 (Eastern Standard Time),null,Kia,2020,Forte,Sedan
EJq3Yt9FKG,Mon Jan 27 2020 15:44:18 GMT-0500 (Eastern Standard Time),Mon Jan 27 2020 15:44:18 GMT-0500 (Eastern Standard Time),null,Jeep,2020,Wrangler Unlimited,SUV
sTp52PebGT,Mon Jan 27 2020 15:44:18 GMT-0500 (Eastern Standard Time),Mon Jan 27 2020 15:44:18 GMT-0500 (Eastern Standard Time),null,Kia,2020,Soul,Wagon
Xv6yD7wyNA,Mon Jan 27 2020 15:44:18 GMT-0500 (Eastern Standard Time),Mon Jan 27 2020 15:44:18 GMT-0500 (Eastern Standard Time),null,Land Rover,2020,Range Rover Sport,SUV
HtCInoVvUS,Mon Jan 27 2020 15:44:18 GMT-0500 (Eastern Standard Time),Mon Jan 27 2020 15:44:18 GMT-0500 (Eastern Standard Time),null,Land Rover,2020,Range Rover,SUV
jDCmqwjhR3,Mon Jan 27 2020 15:44:18 GMT-0500 (Eastern Standard Time),Mon Jan 27 2020 15:44:18 GMT-0500 (Eastern Standard Time),null,Kia,2020,Stinger,Sedan
EfmLCaRB79,Mon Jan 27 2020 15:44:18 GMT-0500 (Eastern Standard Time),Mon Jan 27 2020 15:44:18 GMT-0500 (Eastern Standard Time),null,Land Rover,2020,Discovery,SUV
eWF8kdEUAc,Mon Jan 27 2020 15:44:18 GMT-0500 (Eastern Standard Time),Mon Jan 27 2020 15:44:18 GMT-0500 (Eastern Standard Time),null,Land Rover,2020,Range Rover Velar,SUV
7tsGYqXUUF,Mon Jan 27 2020 15:44:18 GMT-0500 (Eastern Standard Time),Mon Jan 27 2020 15:44:18 GMT-0500 (Eastern Standard Time),null,Lexus,2020,ES,Sedan
3L39B06Lvk,Mon Jan 27 2020 15:44:18 GMT-0500 (Eastern Standard Time),Mon Jan 27 2020 15:44:18 GMT-0500 (Eastern Standard Time),null,Lexus,2020,LC,Coupe
BBndyIrB32,Mon Jan 27 2020 15:44:18 GMT-0500 (Eastern Standard Time),Mon Jan 27 2020 15:44:18 GMT-0500 (Eastern Standard Time),null,Lexus,2020,LX,SUV
Z8cpJng1P5,Mon Jan 27 2020 15:44:18 GMT-0500 (Eastern Standard Time),Mon Jan 27 2020 15:44:18 GMT-0500 (Eastern Standard Time),null,Lexus,2020,RC,Coupe
VKR5opkrfH,Mon Jan 27 2020 15:44:18 GMT-0500 (Eastern Standard Time),Mon Jan 27 2020 15:44:18 GMT-0500 (Eastern Standard Time),null,Lexus,2020,GX,SUV
lqFwthLaBG,Mon Jan 27 2020 15:44:18 GMT-0500 (Eastern Standard Time),Mon Jan 27 2020 15:44:18 GMT-0500 (Eastern Standard Time),null,Lexus,2020,IS,Sedan
OUjPRZrwv4,Mon Jan 27 2020 15:44:18 GMT-0500 (Eastern Standard Time),Mon Jan 27 2020 15:44:18 GMT-0500 (Eastern Standard Time),null,Lexus,2020,GS,Sedan
ur0DyHrVuX,Mon Jan 27 2020 15:44:18 GMT-0500 (Eastern Standard Time),Mon Jan 27 2020 15:44:18 GMT-0500 (Eastern Standard Time),null,Lexus,2020,LS,Sedan
Bk6SLEfNLj,Mon Jan 27 2020 15:44:18 GMT-0500 (Eastern Standard Time),Mon Jan 27 2020 15:44:18 GMT-0500 (Eastern Standard Time),null,Lexus,2020,UX,SUV
qEzHd8PYEr,Mon Jan 27 2020 15:44:18 GMT-0500 (Eastern Standard Time),Mon Jan 27 2020 15:44:18 GMT-0500 (Eastern Standard Time),null,Mercedes-Benz,2020,GLS,SUV
3vSeFSb1xL,Mon Jan 27 2020 15:44:18 GMT-0500 (Eastern Standard Time),Mon Jan 27 2020 15:44:18 GMT-0500 (Eastern Standard Time),null,Mercedes-Benz,2020,CLA,Sedan
iP9HxrAHwE,Mon Jan 27 2020 15:44:18 GMT-0500 (Eastern Standard Time),Mon Jan 27 2020 15:44:18 GMT-0500 (Eastern Standard Time),null,Mitsubishi,2020,Outlander Sport,SUV
8vNEmhRrBc,Mon Jan 27 2020 15:44:18 GMT-0500 (Eastern Standard Time),Mon Jan 27 2020 15:44:18 GMT-0500 (Eastern Standard Time),null,Lincoln,2020,MKZ,Sedan
pJ8KCIdjvW,Mon Jan 27 2020 15:44:18 GMT-0500 (Eastern Standard Time),Mon Jan 27 2020 15:44:18 GMT-0500 (Eastern Standard Time),null,Lincoln,2020,Aviator,SUV
